pkyeardaystatefc,pkyearday,pkyeardaystate,fccomponent,electionyear,daystoelection,fcdate,state,forecast,incumbentpresident,nfcvs,nfcwinprob,nfcwinfreq,fcevrep,fcevdem,fcwinner,fcwinnervs,fcwinnerwinprob,fcwinnerwinfreq,fcwinnerpollyvotefreq,fcrepvs,fcdemvs,fcrepwinprob,fcdemwinprob,fcrepwinfreq,fcdemwinfreq,fcrepwinpollyvotefreq,fcdemwinpollyvotefreq,fcerror,absolutefcerror,fcupdate,lastsurveyday,firstsurveyday,inc2party,resprep,respdem,respoth,respundecided,released,sample,moe,questiontxt,sampledesc,intmethod,surveyorg,surveysponsor,sourcedocumentlink
20127NationalUSCBSNYT.103012.R09,20127,20127National,expectations_NL,2012,7,30.10.2012,National,USCBSNYT.103012.R09,D,,,,,,D,D,,,,49.1,50.9,,,36,49,,,4.5,4.5,1,28.10.2012,25.10.2012,57.6,36,49,0,,30.10.2012,898,,"Regardless of how you intend to vote for President in 2012, who do you expect to finally win the 2012 presidential election--Mitt Romney or Barack Obama?","national adult",telephone,"CBS News/New York Times",,
20127NationalUSGALLUP.103112.R01,20127,20127National,expectations_NL,2012,7,31.10.2012,National,USGALLUP.103112.R01,D,,,,,,D,D,,,,48.5,51.5,,,34,54,,,5.1,5.1,1,28.10.2012,27.10.2012,61.4,34,54,0,,30.10.2012,1063,,"Regardless of whom you support, and trying to be as objective as possible, who do you think will win the (presidential) election in November (2012)--Barack Obama or Mitt Romney?","national adult",telephone,"Gallup Organization",,
201211NationalUSABCWP.102512.R21,201211,201211National,expectations_NL,2012,11,25.10.2012,National,USABCWP.102512.R21,D,,,,,,D,D,,,,49.3,50.7,,,40,52,,,4.3,4.3,1,24.10.2012,21.10.2012,56.5,40,52,0,,26.10.2012,1773,,"Just your best guess, who do you think will win the presidential election this year (2012)--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
201222NationalUSABCWP.101512.R28,201222,201222National,expectations_NL,2012,22,15.10.2012,National,USABCWP.101512.R28,D,,,,,,D,D,,,,48.2,51.8,,,33,57,,,5.5,5.5,1,13.10.2012,10.10.2012,63.3,33,57,0,,15.10.2012,1252,,"Just your best guess, who do you think will win the presidential election this year (2012)--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
201236NationalUSABCWP.100112.R31,201236,201236National,expectations_NL,2012,36,01.10.2012,National,USABCWP.100112.R31,D,,,,,,D,D,,,,47.5,52.5,,,31,63,,,6.1,6.1,1,29.09.2012,26.09.2012,67,31,63,0,,01.10.2012,1101,,"Just your best guess, who do you think will win the presidential election this year (2012)--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
201271NationalUSABCWP.082712.R32,201271,201271National,expectations_NL,2012,71,27.08.2012,National,USABCWP.082712.R32,D,,,,,,D,D,,,,48.1,51.9,,,34,59,,,5.5,5.5,1,25.08.2012,22.08.2012,63.4,34,59,0,,27.08.2012,1002,,"Just your best guess, who do you think will win the presidential election this year--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
2012119NationalUSABCWP.071012.R18,2012119,2012119National,expectations_NL,2012,119,10.07.2012,National,USABCWP.071012.R18,D,,,,,,D,D,,,,48.2,51.8,,,34,58,,,5.4,5.4,1,08.07.2012,05.07.2012,63,34,58,0,,10.07.2012,1003,,"Just your best guess, who do you think will win the presidential election this year (2012)--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
20087NationalUSGALLUP.08OCT23.R1,20087,20087National,expectations_NL,2008,7,28.10.2008,National,USGALLUP.08OCT23.R1,R,,,,,,D,D,,,,45.2,54.8,,,23,71,,,-1.2,1.2,1,26.10.2008,23.10.2008,24.5,23,71,6,,28.10.2008,1010,,"Regardless of whom you support, and trying to be objective as possible, who do you think will win the presidential election in November (2008)--Barack Obama or John McCain?","national adult",telephone,"Gallup Organization",,
200811NationalUSCBSNYT.102308A.R11,200811,200811National,expectations_NL,2008,11,23.10.2008,National,USCBSNYT.102308A.R11,R,,,,,,D,D,,,,45,55,,,20,65,,,-1.4,1.4,1,22.10.2008,19.10.2008,23.5,20,65,15,,24.10.2008,1152,,"Regardless of how you intend to vote for President in 2008, who do you expect to finally win the 2008 presidential election--John McCain or Barack Obama?","national adult",telephone,"CBS News/New York Times",,
200847NationalUSCBSNYT.091708A.R10,200847,200847National,expectations_NL,2008,47,17.09.2008,National,USCBSNYT.091708A.R10,R,,,,,,D,D,,,,48.8,51.2,,,38,45,,,2.5,2.5,1,16.09.2008,12.09.2008,45.8,38,45,17,,18.09.2008,1133,,"Regardless of how you intend to vote for President in 2008, who do you expect to finally win the 2008 presidential election--John McCain or Barack Obama?","national adult",telephone,"CBS News/New York Times",,
200875NationalUSCBSNYT.082008.R10,200875,200875National,expectations_NL,2008,75,20.08.2008,National,USCBSNYT.082008.R10,R,,,,,,D,D,,,,48.1,51.9,,,34,48,,,1.7,1.7,1,19.08.2008,15.08.2008,41.5,34,48,18,,21.08.2008,1012,,"Regardless of how you intend to vote for President in 2008, who do you expect to finally win the 2008 presidential election--John McCain or Barack Obama?","national adult",telephone,"CBS News/New York Times",,
2008111NationalUSCBSNYT.071508A.R09,2008111,2008111National,expectations_NL,2008,111,15.07.2008,National,USCBSNYT.071508A.R09,R,,,,,,D,D,,,,47.2,52.8,,,30,53,,,0.8,0.8,1,14.07.2008,07.07.2008,36.1,30,53,17,,16.07.2008,1796,,"Regardless of how you intend to vote for President in 2008, who do you expect to finally win the 2008 presidential election--John McCain or Barack Obama?","national adult including oversamples of blacks and hispanics",telephone,"CBS News/New York Times",,
2008143NationalUSGALLUP.08JUN09.R10,2008143,2008143National,expectations_NL,2008,143,16.06.2008,National,USGALLUP.08JUN09.R10,R,,,,,,D,D,,,,48.5,51.5,,,41,52,,,2.2,2.2,1,12.06.2008,09.06.2008,44.1,41,52,7,,14.06.2008,822,,"Regardless of whom you support, and trying to be as objective as possible, who do you think will win the presidential election in November (2008)--(Barack) Obama or (John) McCain?","national adult",telephone,"Gallup Organization",,
20041NationalUSABC.103104.R06,20041,20041National,expectations_NL,2004,1,31.10.2004,National,USABC.103104.R06,R,,,,,,R,R,,,,51.6,48.4,,,53,33,,,5.2,5.2,1,30.10.2004,27.10.2004,61.6,53,33,14,,01.11.2004,3617,,"Regardless of whom you support, who do you think will win the (2004 presidential) election on Tuesday (November 2, 2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
20041NationalUSCBSNYT.103104.R16,20041,20041National,expectations_NL,2004,1,31.10.2004,National,USCBSNYT.103104.R16,R,,,,,,R,R,,,,51.2,48.8,,,49,33,,,4.9,4.9,1,30.10.2004,28.10.2004,59.8,49,33,18,,01.11.2004,1822,,"Regardless of how you intend to vote for President in 2004, who do you expect to finally win the 2004 President election--John Kerry or George W. Bush?","national adult",telephone,"CBS News/New York Times",,
20042NationalUSABC.2004ELETRACKO26.Q025,20042,20042National,expectations_NL,2004,2,31.10.2004,National,USABC.2004ELETRACKO26.Q025,R,,,,,,R,R,,,,51.6,48.4,,,53,33,,,5.2,5.2,1,29.10.2004,26.10.2004,61.6,53,33,14,,31.10.2004,3216,,"Regardless of whom you support, who do you think will win the election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
20043NationalUSABC.2004ELETRACKO25.Q025,20043,20043National,expectations_NL,2004,3,31.10.2004,National,USABC.2004ELETRACKO25.Q025,R,,,,,,R,R,,,,51.8,48.2,,,55,32,,,5.4,5.4,1,28.10.2004,25.10.2004,63.2,55,32,13,,30.10.2004,2820,,"Regardless of whom you support, who do you think will win the election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
20045NationalUSABC.2004ELETRACKO23.Q025,20045,20045National,expectations_NL,2004,5,31.10.2004,National,USABC.2004ELETRACKO23.Q025,R,,,,,,R,R,,,,50.5,49.5,,,49,39,,,4.2,4.2,1,26.10.2004,23.10.2004,55.7,49,39,12,,28.10.2004,2412,,"Regardless of whom you support, who do you think will win the election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
20046NationalUSABC.2004ELETRACKO22.Q025,20046,20046National,expectations_NL,2004,6,31.10.2004,National,USABC.2004ELETRACKO22.Q025,R,,,,,,R,R,,,,51.4,48.6,,,54,35,,,5,5,1,25.10.2004,22.10.2004,60.7,54,35,11,,27.10.2004,2414,,"Regardless of whom you support, who do you think will win the election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
20047NationalUSABC.2004ELETRACKO21.Q025,20047,20047National,expectations_NL,2004,7,31.10.2004,National,USABC.2004ELETRACKO21.Q025,R,,,,,,R,R,,,,51.7,48.3,,,55,33,,,5.3,5.3,1,24.10.2004,21.10.2004,62.5,55,33,12,,26.10.2004,2410,,"Regardless of whom you support, who do you think will win the election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
20048NationalUSABC.102404.R05,20048,20048National,expectations_NL,2004,8,24.10.2004,National,USABC.102404.R05,R,,,,,,R,R,,,,51.7,48.3,,,55,33,,,5.3,5.3,1,23.10.2004,20.10.2004,62.5,55,33,12,,25.10.2004,2408,,"Regardless of whom you support, who do you think will win the (presidential) election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
200410NationalUSABC.2004ELETRACKO19.Q025,200410,200410National,expectations_NL,2004,10,31.10.2004,National,USABC.2004ELETRACKO19.Q025,R,,,,,,R,R,,,,52.4,47.6,,,56,28,,,6,6,1,21.10.2004,19.10.2004,66.7,56,28,16,,23.10.2004,1803,,"Regardless of whom you support, who do you think will win the election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
200412NationalUSMARIST.102104.R09,200412,200412National,expectations_NL,2004,12,21.10.2004,National,USMARIST.102104.R09,R,,,,,,R,R,,,,51.7,48.3,,,55,33,,,5.3,5.3,1,19.10.2004,17.10.2004,62.5,55,33,12,,21.10.2004,1175,,"Regardless of whom you are planning to vote for, who do you think will win the (2004) election for president?...George W. Bush and Dick Cheney, the Republicans, John Kerry and John Edwards, the Democrats, or Ralph Nader and Peter Camejo, the Independents?","national adult",telephone,"Marist College Institute for Public Opinion",,
200413NationalUSABC.2004ELETRACKO16.Q025,200413,200413National,expectations_NL,2004,13,31.10.2004,National,USABC.2004ELETRACKO16.Q025,R,,,,,,R,R,,,,52.4,47.6,,,58,29,,,6,6,1,18.10.2004,16.10.2004,66.7,58,29,13,,20.10.2004,1802,,"Regardless of whom you support, who do you think will win the election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
200414NationalUSABC.2004ELETRACKO14.Q025,200414,200414National,expectations_NL,2004,14,31.10.2004,National,USABC.2004ELETRACKO14.Q025,R,,,,,,R,R,,,,51.8,48.2,,,57,33,,,5.5,5.5,1,17.10.2004,14.10.2004,63.3,57,33,10,,19.10.2004,2402,,"Regardless of whom you support, who do you think will win the election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
200415NationalUSABC.101704.R05,200415,200415National,expectations_NL,2004,15,17.10.2004,National,USABC.101704.R05,R,,,,,,R,R,,,,51.8,48.2,,,56,33,,,5.4,5.4,1,16.10.2004,13.10.2004,62.9,56,33,11,,18.10.2004,2401,,"Regardless of whom you support, who do you think will win the (presidential) election this November (2004), (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
200417NationalUSABC.2004ELETRACKO12.Q025,200417,200417National,expectations_NL,2004,17,31.10.2004,National,USABC.2004ELETRACKO12.Q025,R,,,,,,R,R,,,,51.3,48.7,,,54,36,,,4.9,4.9,1,14.10.2004,12.10.2004,60,54,36,10,,16.10.2004,1802,,"Regardless of whom you support, who do you think will win the election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News",,
200426NationalUSMARIST.100704.R07,200426,200426National,expectations_NL,2004,26,07.10.2004,National,USMARIST.100704.R07,R,,,,,,R,R,,,,51.9,48.1,,,56,32,,,5.5,5.5,1,05.10.2004,04.10.2004,63.6,56,32,12,,07.10.2004,1038,,"Regardless of whom you are planning to vote for, who do you think will win the (2004) election for president?...George W. Bush and Dick Cheney, the Republicans, John Kerry and John Edwards, the Democrats, or Ralph Nader and Peter Camejo, the Independents?","national adult",telephone,"Marist College Institute for Public Opinion",,
200445NationalUSCBSNYT.091704.R11,200445,200445National,expectations_NL,2004,45,17.09.2004,National,USCBSNYT.091704.R11,R,,,,,,R,R,,,,52.9,47.1,,,61,27,,,6.5,6.5,1,16.09.2004,12.09.2004,69.3,61,27,12,,18.09.2004,1287,,"Regardless of how you intend to vote for President in 2004, who do you expect to finally win the 2004 Presidential election--John Kerry or George W. Bush?","national adult",telephone,"CBS News/New York Times",,
200453NationalUSABCWP.090904.R24,200453,200453National,expectations_NL,2004,53,09.09.2004,National,USABCWP.090904.R24,R,,,,,,R,R,,,,53.1,46.9,,,63,26,,,6.7,6.7,1,08.09.2004,06.09.2004,70.8,63,26,11,,10.09.2004,1202,,"Regardless of whom you support, who do you think will win the (presidential) election this November (2004): (George W.) Bush or (John) Kerry?","national adult",telephone,"ABC News/Washington Post",,
200490NationalUSMARIST.080404.R04,200490,200490National,expectations_NL,2004,90,04.08.2004,National,USMARIST.080404.R04,R,,,,,,D,D,,,,49.7,50.3,,,44,43,,,3.3,3.3,1,02.08.2004,30.07.2004,50.6,44,43,13,,04.08.2004,1075,,"Regardless of whom you are planning to vote for, who do you think will win the (2004) election for president?...George W. Bush and Dick Cheney, the Republicans, John Kerry and John Edwards, the Democrats, and Ralph Nader and Peter Camejo, the Independents?","national adult",telephone,"Marist College Institute for Public Opinion",,
2004101NationalUSQUINN.072404.R05,2004101,2004101National,expectations_NL,2004,101,24.07.2004,National,USQUINN.072404.R05,R,,,,,,R,R,,,,50.7,49.3,,,47,36,,,4.3,4.3,1,22.07.2004,18.07.2004,56.6,47,36,17,,24.07.2004,1551,,"Regardless of how you intend to vote, who do you think will win the (2004) presidential election (George W.) Bush, (John) Kerry, or (Ralph) Nader?","national registered voters",telephone,"Quinnipiac University Polling Institute",,
20001NationalUSCBSNYT.110500.R15,20001,20001National,expectations_NL,2000,1,05.11.2000,National,USCBSNYT.110500.R15,D,,,,,,R,R,,,,52.1,47.9,,,49,33,,,1.5,1.5,1,04.11.2000,01.11.2000,40.2,49,33,18,,06.11.2000,1650,,"Regardless of how you intend to vote, who do you expect to finally win the Presidential election in November (2000)--Al Gore or George W. Bush?","national adult",telephone,"CBS News/New York Times",,
20005NationalUSCBS.110100.R15,20005,20005National,expectations_NL,2000,5,01.11.2000,National,USCBS.110100.R15,D,,,,,,R,R,,,,51.5,48.5,,,45,35,,,2.1,2.1,1,31.10.2000,29.10.2000,43.8,45,35,20,,02.11.2000,1396,,"Regardless of how you intend to vote, who do you expect to finally win the Presidential election in November (2000)--Al Gore or George W. Bush?","national adult",telephone,"CBS News",,
200010NationalUSHARRIS.102800.R4,200010,200010National,expectations_NL,2000,10,28.10.2000,National,USHARRIS.102800.R4,D,,,,,,R,R,,,,51.8,48.2,,,26,19,,,1.8,1.8,1,26.10.2000,19.10.2000,42.2,26,19,55,,28.10.2000,906,,"Which one of the following do you think will best describe the result of the (2000) presidential election? Al Gore will win with a big majority. Al Gore will win with a small majority. It will be very close. George W. Bush will win with a big majority. George W. Bush will win with a small majority.","national registered voters",telephone,"Harris Interactive",,
200015NationalUSCBSNYT.102200.R13,200015,200015National,expectations_NL,2000,15,22.10.2000,National,USCBSNYT.102200.R13,D,,,,,,R,R,,,,50.4,49.6,,,38,38,,,3.2,3.2,1,21.10.2000,18.10.2000,50,38,38,24,,23.10.2000,1279,,"Regardless of how you intend to vote, who do you expect to finally win the Presidential election in November (2000)--Al Gore or George W. Bush?","national adult",telephone,"CBS News/New York Times",,
200027NationalUSCBS.101000.R13,200027,200027National,expectations_NL,2000,27,10.10.2000,National,USCBS.101000.R13,D,,,,,,D,D,,,,49.2,50.8,,,34,45,,,4.4,4.4,1,09.10.2000,06.10.2000,57,34,45,21,,11.10.2000,1498,,"Regardless of how you intend to vote, who do you expect to finally win the Presidential election in November (2000)--Al Gore or George W. Bush?","national adult",telephone,"CBS News",,
200035NationalUSCBSNYT.100200.R13,200035,200035National,expectations_NL,2000,35,02.10.2000,National,USCBSNYT.100200.R13,D,,,,,,D,D,,,,49.5,50.5,,,36,45,,,4.1,4.1,1,01.10.2000,27.09.2000,55.6,36,45,19,,03.10.2000,1462,,"Regardless of how you intend to vote, who do you expect to finally win the Presidential election in November (2000)--Al Gore or George W. Bush?","national adult",telephone,"CBS News/New York Times",,
200035NationalUSCBSNYT.20009D.Q12,200035,200035National,expectations_NL,2000,35,01.10.2000,National,USCBSNYT.20009D.Q12,D,,,,,,D,D,,,,48.8,51.2,,,32,47,,,4.8,4.8,1,01.10.2000,27.09.2000,59.5,32,47,21,,03.10.2000,1462,,"Regardless of how you intend to vote, do you expect Al Gore or George W. Bush to finally win the Presidential election in November 2000?","national adult",telephone,"CBS News/New York Times",,
200055NationalUSCBSNYT.091200.R12,200055,200055National,expectations_NL,2000,55,12.09.2000,National,USCBSNYT.091200.R12,D,,,,,,R,R,,,,50.2,49.8,,,38,40,,,3.4,3.4,1,11.09.2000,09.09.2000,51.3,38,40,22,,13.09.2000,1050,,"Regardless of how you intend to vote, do you expect Al Gore or George W. Bush to finally win the Presidential election in November 2000?","national adult",telephone,"CBS News/New York Times",,
200070NationalUSGALLUP.00AG24.R07,200070,200070National,expectations_NL,2000,70,30.08.2000,National,USGALLUP.00AG24.R07,D,,,,,,R,R,,,,51.6,48.4,,,47,36,,,2,2,1,27.08.2000,24.08.2000,43.4,47,36,17,,29.08.2000,1019,,"(We have some questions about the election for president, which will be held in November, that is in November 2000.)... Regardless of who you support, and trying to be as objective as possible, who do you think will win the election in November--Al Gore, or George W. Bush?","national adult",telephone,"Gallup Organization",,
200077NationalUSCBS.082100.R10,200077,200077National,expectations_NL,2000,77,21.08.2000,National,USCBS.082100.R10,D,,,,,,R,R,,,,51.9,48.1,,,47,33,,,1.7,1.7,1,20.08.2000,18.08.2000,41.3,47,33,20,,22.08.2000,1254,,"Regardless of how you intend to vote, do you expect Al Gore or George W. Bush to finally win the Presidential election in November 2000?","national adult",telephone,"CBS News",,
200091NationalUSCBS.080700.R10,200091,200091National,expectations_NL,2000,91,07.08.2000,National,USCBS.080700.R10,D,,,,,,R,R,,,,54.5,45.5,,,58,21,,,-0.8,0.8,1,06.08.2000,04.08.2000,26.6,58,21,21,,08.08.2000,1139,,"Regardless of how you intend to vote, do you expect Al Gore or George W. Bush to finally win the Presidential election in November 2000?","national adult",telephone,"CBS News",,
2000105NationalUSCBSNYT.072400.R10,2000105,2000105National,expectations_NL,2000,105,24.07.2000,National,USCBSNYT.072400.R10,D,,,,,,R,R,,,,52.4,47.6,,,48,30,,,1.2,1.2,1,23.07.2000,20.07.2000,38.5,48,30,22,,25.07.2000,953,,"Regardless of how you intend to vote, do you expect Al Gore or George W. Bush to finally win the Presidential election in November 2000?","national adult",telephone,"CBS News/New York Times",,
19961NationalUSCBSNYT.110396.R19,19961,19961National,expectations_NL,1996,1,03.11.1996,National,USCBSNYT.110396.R19,D,,,,,,D,D,,,,44.1,55.9,,,12,82,,,9.6,9.6,1,02.11.1996,30.10.1996,87.2,12,82,6,,04.11.1996,1919,,"Regardless of how you intend to vote, who do you expect to finally win the (presidential) election on November 5th--Bill Clinton, Bob Dole, or Ross Perot?","national adult",telephone,"CBS News/New York Times",,
19965NationalUSCBS.103096.R14,19965,19965National,expectations_NL,1996,5,30.10.1996,National,USCBS.103096.R14,D,,,,,,D,D,,,,44.1,55.9,,,12,79,,,9.5,9.5,1,29.10.1996,27.10.1996,86.8,12,79,9,,31.10.1996,1077,,"Regardless of how you intend to vote, who do you expect to finally win the (presidential) election in November--Bill Clinton, Bob Dole, or Ross Perot?","national adult",telephone,"CBS News",,
19965NationalUSWASHP.943LA.Q3,19965,19965National,expectations_NL,1996,5,01.10.1996,National,USWASHP.943LA.Q3,D,,,,,,D,D,,,,44,56,,,11,78,,,9.6,9.6,1,29.10.1996,25.10.1996,87.6,11,78,11,,31.10.1996,1007,,"Regardless of who you plan to vote for, who do you think will win the presidential election--Bob Dole, Bill Clinton, or Ross Perot?","national adult",telephone,"Washington Post",,
19967NationalUSCBS.102996.R15,19967,19967National,expectations_NL,1996,7,29.10.1996,National,USCBS.102996.R15,D,,,,,,D,D,,,,43.9,56.1,,,11,81,,,9.7,9.7,1,27.10.1996,23.10.1996,88,11,81,8,,29.10.1996,1528,,"Regardless of how you intend to vote, who do you expect to finally win the (presidential) election in November--Bill Clinton, Bob Dole, or Ross Perot?","national adult with hispanic oversample (see note)",telephone,"CBS News",,
